iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
276,35601640.5,35601640.5,0.0,703,ER13,20
277,35601640.5,35601640.5,0.0,709,ER5,20
278,35601640.5,35601640.5,0.0,573,ER15,20
279,35601640.5,35601640.5,0.0,573,ER5,20
280,35601640.5,35601640.5,0.0,572,ER6,20
281,35601640.5,35601640.5,0.0,572,ER5,20
282,35601640.5,35601640.5,0.0,709,ER13,20
283,35601640.5,35601640.5,0.0,545,ER13,20
284,35601640.5,35601640.5,0.0,545,ER12,20
285,35601640.5,35601640.5,0.0,728,ER16,20
286,35601640.5,35601640.5,0.0,728,ER15,20
287,35601640.5,35601640.5,0.0,799,ER6,20
288,35601640.5,35601640.5,0.0,799,ER7,20
289,35601640.5,35601640.5,0.0,861,ER8,20
290,35601640.5,35601640.5,0.0,861,ER1,20
291,35601640.5,35601640.5,0.0,644,ER1,20
292,35601640.5,35601640.5,0.0,466,ER10,20
293,35601640.5,35601640.5,0.0,466,ER11,20
294,35601640.5,35601640.5,0.0,439,ER15,20
295,35601640.5,35601640.5,0.0,439,ER16,20
296,35601640.5,35601640.5,0.0,703,ER16,20
297,35601640.5,35601640.5,0.0,703,ER13,20
298,35601640.5,35601640.5,0.0,709,ER5,20
299,35601640.5,35601640.5,0.0,573,ER15,20
300,35601640.5,35601640.5,0.0,573,ER5,20
