iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
200,28901340.9,28871340.900000002,0.0,52,ER16,20
201,28901340.9,28871340.900000002,0.0,52,ER14,20
202,28901340.9,28871340.900000002,0.0,48,ER7,20
203,28901340.9,28871340.900000002,0.0,48,ER14,20
204,28901340.9,28871340.900000002,0.0,129,ER8,20
205,28901340.9,28871340.900000002,0.0,129,ER5,20
206,28901340.9,28871340.900000002,0.0,200,ER2,20
207,28901341.299999997,28871340.900000002,0.40000000000000213,305,ER11,20
208,28901340.9,28871340.900000002,-0.40000000000000213,305,ER10,20
209,28901341.4,28871340.900000002,0.5,74,ER4,20
210,28901339.4,28871340.900000002,-2.0,149,ER7,20
211,28901328.4,28871340.900000002,-11.0,287,ER4,20
212,28901327.9,28871340.900000002,-0.5,237,ER7,20
213,28901326.9,28871340.900000002,-1.0,203,ER1,20
214,28901326.9,28871340.900000002,0.0,131,ER14,20
215,28891358.7,28871340.900000002,-9968.2,51,ER16,20
216,28891353.3,28871340.900000002,-5.4,57,ER15,20
217,28891339.7,28871340.900000002,-13.6,127,ER14,20
218,28891339.7,28871340.900000002,0.0,228,ER14,20
219,28891328.9,28871340.900000002,-10.8,50,ER15,20
220,28891328.4,28871340.900000002,-0.5,229,ER7,20
221,28891328.4,28871340.900000002,0.0,327,ER12,20
222,28891328.4,28871340.900000002,0.0,327,ER9,20
223,28891328.4,28871340.900000002,0.0,52,ER16,20
224,28891328.4,28871340.900000002,0.0,52,ER14,20
225,28891328.4,28871340.900000002,0.0,48,ER7,20
226,28891328.4,28871340.900000002,0.0,48,ER14,20
227,28891328.4,28871340.900000002,0.0,129,ER8,20
228,28891328.4,28871340.900000002,0.0,129,ER5,20
229,28891328.4,28871340.900000002,0.0,200,ER1,20
230,28881341.4,28871340.900000002,-9987.0,358,ER13,20
231,28881341.4,28871340.900000002,0.0,89,ER2,20
232,28881341.4,28871340.900000002,0.0,89,ER6,20
233,28881341.599999998,28871340.900000002,0.20000000000000284,344,ER11,20
234,28881341.4,28871340.900000002,-0.20000000000000284,344,ER8,20
235,28881341.799999997,28871340.900000002,0.40000000000000213,305,ER11,20
236,28881341.4,28871340.900000002,-0.40000000000000213,305,ER10,20
237,28881341.9,28871340.900000002,0.5,229,ER6,20
238,28881341.4,28871340.900000002,-0.5,229,ER7,20
239,28881341.9,28871340.900000002,0.5,237,ER6,20
240,28881341.4,28871340.900000002,-0.5,237,ER7,20
241,28881341.9,28871340.900000002,0.5,149,ER12,20
242,28881341.4,28871340.900000002,-0.5,149,ER7,20
